Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
185.47628784179688,185.67398314097,182.6000082560471,182.7976884731864,60813900
185.6937255859375,186.9292456956689,185.30824391498263,185.66407430986655,60794500
187.2653350830078,187.7199980774023,186.09899615427736,187.29498636168424,45766500
187.5025177001953,187.77927298177536,185.43673181910435,186.09896874874457,45280000
180.79119873046875,186.66239298088038,179.3678770840619,186.21759365485326,81755800
175.50315856933594,176.14563807720947,171.5297216636145,173.1507234483217,112488800
176.115966796875,178.15211655476327,175.7304851357375,176.2840107997074,65551300
177.28231811523438,178.21143169284028,175.28571330476424,177.98410020535158,58953100
174.2577667236328,178.043402311121,172.79491507430095,177.4108165912451,90370200
172.1919708251953,175.24617287306006,171.96462426919445,174.46531572894506,84267900
173.70423889160156,174.06006926639952,171.56925664281374,171.98438956640607,60895800
172.98269653320312,174.45544195430384,171.806494041059,174.43566940930017,109259500
175.9084014892578,177.30207170667876,174.12924962468128,174.4356561798522,67257600
176.99569702148438,177.54920768301113,175.07816717117066,175.4636488877364,51826900
173.45716857910156,177.61839243619755,173.3681996565953,177.1834868845125,58436200
171.91519165039062,174.25774788080986,171.84601037143327,172.52801984046553,63149100
172.76522827148438,175.02870938713053,172.03381007438438,172.64662317617766,56725400
174.040283203125,174.9199727999802,172.13263256691485,172.18205638108142,46172700
169.96804809570312,173.1705067749598,169.67152023376326,172.7949188930673,64588900
168.4557647705078,171.03553164114703,167.0917606780329,170.62039864934732,66921800
168.71273803710938,170.03721192481018,165.678293523344,167.3783703364052,56294400
169.22669982910156,171.06515408193007,168.36676770498428,170.02731432787635,51861100
171.73728942871094,172.28092127496365,168.94994891630552,169.2365980179806,52164500
170.40293884277344,171.61870157072957,168.84125459232132,170.26456118455488,49594600
171.6483612060547,172.19199313339385,168.98951921036945,169.10812432832188,53020300
172.8838653564453,173.41760341955526,170.67968657288918,171.77682905786853,48527900
175.43397521972656,175.9281832590251,171.17388925206592,171.78671747657816,57266700
176.91661071777344,176.9759132731787,173.76356081110382,174.76185568517045,42390800
176.3235626220703,177.63815795783916,175.8886570875863,176.03692856454262,43698000
177.7172393798828,177.7666632072918,175.54272671219826,176.13576739500243,47551100
178.61668395996094,180.227791982292,176.96601576479657,177.98409824545533,56743100
176.7782440185547,179.82255265296823,176.0764618780152,179.31846581874476,51427100
176.64974975585938,177.00558020178707,174.46534325240765,174.70256857703768,52517000
175.09791564941406,176.35320838797153,172.77514673671925,174.60370757241088,57549400
173.80308532714844,175.52293478970745,173.08154578913502,173.54610256783715,54764400
173.42750549316406,175.77992569036093,173.16062890788183,174.0007735918687,59302900
170.87738037109375,173.38795063159753,170.64015507731645,173.2792242572037,64244000
170.99600219726562,171.99429712738208,167.96155723103598,168.93021596381925,55980100
171.43087768554688,171.65820914819068,169.46392436745393,171.04539603931104,43816600
169.1179962158203,171.05528327402416,168.6731969171006,169.88895954662036,57157000
164.95677185058594,169.39476582537458,163.75090293239452,168.3964558542296,70625300
166.2713623046875,167.00279566914165,164.89746448966903,164.97653958977486,58499100
168.3173828125,169.18719386762373,166.91383366211736,167.06210513671374,51131000
168.7918243408203,168.92030818010912,165.9550598323106,167.38827526603964,44846000
171.9547576904297,172.2117404582064,168.14934950515965,169.01916053768616,56934900
175.5130615234375,175.7206204672586,173.42750286114074,173.4868054165182,77334800
174.6036834716797,174.77172746685503,171.34192267930985,172.2216123316697,79829200
177.15383911132812,177.3515193436343,174.1688329148246,174.33686186638658,63841300
179.71383666992188,180.32664987384885,176.89684453064555,177.10440348202485,70530000
180.7714385986328,181.32494925868284,179.48649451949703,180.23770048559436,49340300
180.29698181152344,181.98716487212562,179.7039261272927,180.84061367506283,53763500
184.48348999023438,184.65175539538808,181.6430032262288,182.07848170612579,66133400
182.8999481201172,184.11729742228064,182.31601793716675,183.9094650326421,43627500
185.51280212402344,186.17591157835597,184.38452385663774,185.77012344749633,60108400
186.07693481445312,187.55162053928348,185.84930383072194,185.91859136162876,53790500
